extension,count
.html,1455491
.gif,1440002
.htm,912534
.PCX,155507
.HTM,149884
"",139526
.SFD,137796
.CDF,135284
.SUM,102379
.pdf,98095
.PDF,97857
.OBJ,96635
.LYR,96503
.GIF,95608
.VMF,66275
.OCR,66274
.KTF,66272
.TIF,65430
.Z,47415
.ivd,44202
.jpg,42675
.GZ,39954
.DOC,39411
.DBF,34348
.DAT,31550
.adf,29845
.TXT,28660
.NNX,26860
.JPG,22437
.SM2,21992
.HLP,20194
.tif,18866
.WK1,18804
.NDX,17764
.ADF,17082
.txt,16931
.EXE,15270
.dat,14906
.IMG,14642
.MAP,14425
.gz,14289
.zip,14148
.ZIP,13840
.nit,13267
.xls,13132
.ASC,11893
.001,9241
.DLL,8432
.ABS,8374
.XLS,8316
.BUF,8160
.xdc,7918
.NIT,7908
.TDR,7809
.rpt,7109
.BIN,6493
.BNA,5708
.png,5550
.TAR,5352
.PIC,5234
.DCT,4993
.PFM,4978
.PFB,4896
.CNT,4720
.TBL,4670
.NC,4665
.TAG,4647
.ivt,4448
.EDR,4269
.LST,4222
.T01,4212
.WAV,3907
.flt,3826
.300,3533
.ENT,3521
.dll,3336
.TWC,3328
.F51,3261
.F52,3261
.F53,3261
.F5A,3261
.F5I,3261
.F5P,3261
.F5R,3261
.F57,3257
.PRN,3254
.F58,3246
.F55,3245
.SHP,3230
.SHX,3230
.F54,3228
.API,3210
.PAK,3123
.wk1,3051
.dbf,3011
.NAR,2804
.PCF,2791
.HDR,2758
.ini,2548
.ME,2434
.INI,2431
.qrs,2419
.BAT,2408
.RPL,2401
.exe,2382
.BMP,2369
.shp,2291
.shx,2291
.700,2268
.DL_,2243
.HDF,2240
.CAT,2204
.PS,2191
.MDX,2134
.ent,1912
.SBX,1910
.SBN,1907
.PP_,1899
.QRS,1833
.csv,1816
.500,1797
.MIN,1792
.F5G,1759
.BCF,1702
.CAB,1693
.AUX,1686
.LBL,1668
.doc,1642
.PL,1609
.BCK,1602
.WK4,1592
.FMT,1587
.ps,1586
.SVL,1573
.DDF,1541
.mov,1439
.CTG,1436
.PRO,1421
.EX_,1411
.NL_,1387
.bmp,1358
.F5F,1339
.rtf,1322
.asp,1296
.ABT,1295
.HTML,1278
